Month,Type,Value,Year,Unit,Month_num
March,South,23.8,2003,Occupancy rate of beds,3
March,"West, Westfjords and Southwest to 2007",20.0,2003,Occupancy rate of beds,3
April,Total,43.7,2003,Occupancy rate of rooms,4
April,East,32.0,2003,Occupancy rate of rooms,4
April,Capital region,58.2,2003,Occupancy rate of rooms,4
April,North,19.0,2003,Occupancy rate of rooms,4
April,South,23.0,2003,Occupancy rate of rooms,4
April,"West, Westfjords and Southwest to 2007",33.5,2003,Occupancy rate of rooms,4
April,Total,36.0,2003,Occupancy rate of beds,4
April,East,20.2,2003,Occupancy rate of beds,4
April,Capital region,48.6,2003,Occupancy rate of beds,4
April,North,14.3,2003,Occupancy rate of beds,4
April,South,21.4,2003,Occupancy rate of beds,4
April,"West, Westfjords and Southwest to 2007",25.1,2003,Occupancy rate of beds,4
May,Total,51.6,2003,Occupancy rate of rooms,5
May,East,59.7,2003,Occupancy rate of rooms,5
May,Capital region,64.1,2003,Occupancy rate of rooms,5
May,North,33.2,2003,Occupancy rate of rooms,5
May,South,29.3,2003,Occupancy rate of rooms,5
May,"West, Westfjords and Southwest to 2007",45.6,2003,Occupancy rate of rooms,5
May,Total,40.8,2003,Occupancy rate of beds,5
May,East,40.1,2003,Occupancy rate of beds,5
May,Capital region,49.5,2003,Occupancy rate of beds,5
May,North,26.6,2003,Occupancy rate of beds,5
May,South,30.2,2003,Occupancy rate of beds,5
May,"West, Westfjords and Southwest to 2007",32.6,2003,Occupancy rate of beds,5
June,Total,62.0,2003,Occupancy rate of rooms,6
June,East,72.3,2003,Occupancy rate of rooms,6
June,Capital region,72.9,2003,Occupancy rate of rooms,6
June,North,47.6,2003,Occupancy rate of rooms,6
